Fiscal Year,Hospitalization Rate per 100k,Avg Length of Stay (days),Sort Order
2020–2021,7227.72329002236,5.85650881956796,1
2021–2022,7536.582766089336,6.01725544902478,2
2022–2023,7565.786001995676,6.138419705836765,3
2023–2024,7565.308740522426,6.124283588083713,4
2024–2025,7560.295286862962,6.148335201226867,5
